"Device","Year","Month_of_the_year","Total_Users","Total_New_Users","Conversion Rate (%)"
"A",2019,9,106551,88428,0.18
"A",2019,10,123361,104308,0.26
"A",2019,11,126870,104020,0.2
"A",2019,12,91043,70326,0.34
"A",2020,1,83031,64103,0.45
"A",2020,2,82626,68145,0.52
"A",2020,3,73844,61557,0.48
"A",2020,4,73349,62794,0.6
"A",2020,5,120625,98574,0.69
"A",2020,6,102123,82461,0.7
"A",2020,7,84343,73239,0.58
"A",2020,8,42747,35935,0.48
"AA",2019,9,743,710,0
"AA",2019,10,334,294,0
"AA",2019,11,434,391,0
"AA",2019,12,297,249,0
"AA",2020,1,262,223,0
"AA",2020,2,246,204,0
"AA",2020,3,138,116,0
"AA",2020,5,111,97,0
"AA",2020,6,132,115,0.56
"B",2019,9,40697,34012,0.24
"B",2019,10,65953,55972,0.33
"B",2019,11,79783,65883,0.22
"B",2019,12,88579,75361,0.21
"B",2020,1,82671,72520,0.25
"B",2020,2,69129,58861,0.35
"B",2020,3,48288,41139,0.31
"B",2020,4,29989,24981,0.6
"B",2020,5,55342,48064,0.52
"B",2020,6,50645,44609,0.53
"B",2020,7,43010,38395,0.38
"B",2020,8,42815,38735,0.4
"BB",2019,9,255,2,0.14
"BB",2019,10,86,6,0
"BB",2019,11,41,1,0
"C",2019,9,2805,2243,0.13
"C",2019,10,680,442,0.53
"C",2019,11,150,41,0
"C",2019,12,4701,3245,0.26
"C",2020,1,24971,19962,0.26
"C",2020,2,18990,14703,0.45
"C",2020,3,25294,20428,0.51
"C",2020,4,50516,43034,0.38
"C",2020,5,68869,55769,0.47
"C",2020,6,36191,27156,0.7
"C",2020,7,9930,6789,0.43
"C",2020,8,11946,8525,0.45
"CC",2020,4,254,175,7.82
"CC",2020,5,565,402,5.81
"CC",2020,6,180,83,7.45
"CC",2020,7,108,47,6.74
"CC",2020,8,226,116,4.83
"D",2020,4,1965,1886,0
"D",2020,5,82246,81585,0
"D",2020,6,15117,14145,0
"D",2020,7,7215,6676,0
"D",2020,8,698,414,0
"DD",2020,8,320,209,1.79
"E",2019,9,21325,2547,0.22
"E",2019,10,33658,4533,0.25
"E",2019,11,31370,3721,0.16
"E",2019,12,23435,4284,0.34
"E",2020,1,14803,1386,0.34
"E",2020,2,20448,3180,0.49
"E",2020,3,17879,3588,0.56
"E",2020,4,17620,3586,0.62
"E",2020,5,4328,637,0.68
"E",2020,6,126,24,0
"E",2020,7,73,18,0.67
"EE",2019,9,77,3,6.02
"EE",2019,10,114,3,2.96
"EE",2019,11,116,13,3.66
"EE",2019,12,124,11,4.66
"EE",2020,1,102,16,7.53
"EE",2020,2,87,16,8.9
"F",2019,9,5824,5518,1.86
"F",2019,10,9099,8747,0.39
"F",2019,11,7869,7463,0.49
"F",2019,12,12351,11794,0.39
"F",2020,1,8964,8481,0.55
"F",2020,2,8055,7467,0.61
"F",2020,3,7298,6694,0.42
